No,ID_SERVICE,ID_TT43,Name_Method,Class,Group
192,01.0068.0298,1.68,Đặt nội khí quản cấp cứu bằng Combitube,Hồi sức cấp cứu và Chống độc,Exclude
193,01.0069.0298,1.69,Đặt mặt nạ thanh quản cấp cứu,Hồi sức cấp cứu và Chống độc,Exclude
194,01.0070.1888,1.70,Đặt ống nội khí quản có cửa hút trên bóng chèn (Hi-low EVAC),Các thủ thuật và dịch vụ Nội soi,Exclude
195,01.0071.0120,1.71,Mở khí quản cấp cứu,Các thủ thuật và dịch vụ Nội soi,Exclude
196,01.0072.0120,1.72,Mở khí quản qua màng nhẫn giáp,Các thủ thuật và dịch vụ Nội soi,Exclude
197,01.0073.0120,1.73,Mở khí quản thường quy,Các thủ thuật và dịch vụ Nội soi,Exclude
198,01.0074.0120,1.74,Mở khí quản qua da một thì cấp cứu ngạt thở,Các thủ thuật và dịch vụ Nội soi,Exclude
199,01.0076.0200,1.76,Chăm sóc lỗ mở khí quản (một lần),Các thủ thuật và dịch vụ Nội soi,Exclude
200,01.0077.1888,1.77,Thay ống nội khí quản,Các thủ thuật và dịch vụ Nội soi,Exclude
201,01.0007.0099,1.7,Đặt catheter tĩnh mạch trung tâm 01 nòng,Các thủ thuật và dịch vụ Nội soi,Exclude
202,01.0080.0206,1.80,Thay canuyn mở khí quản,Các thủ thuật và dịch vụ Nội soi,Exclude
